,R,G,B,Label
Görlitzer Bahnhof,146.333615,144.237779,138.1802732222222,1
Hallesches Tor,97.23271811491524,91.76600621042688,82.26373107511233,3
Kottbusser Tor,108.31101266666667,107.20161333333333,103.402795,2
Kurfürstendamm,159.69073582069547,161.06213179444956,133.5833882250817,1
Kurfürstenstraße,191.4346969976353,171.16500594718252,129.87381423615685,1
Möckernbrücke,144.81708544536139,138.6728908374051,131.31087369831744,1
Nollendorfplatz,185.72515391044655,173.969089227288,148.65941325464533,1
Prinzenstraße,130.1055979211346,128.88027415556067,112.08989848217934,2
Schlesisches Tor,112.04074749730742,101.89053872190875,86.0600301483531,3
Uhlandstraße,94.29132750268076,87.47794157539317,73.85575246374592,3
Warschauer Straße,109.89679116010055,106.87831301858905,96.88597503158023,2
Alexanderplatz U2,160.7405121643587,131.20485767418918,105.41107212791033,2
Bülowstraße,164.24505130828373,141.62235350370116,115.74939337463752,1
Deutsche Oper,176.41002280872814,153.9318194120788,129.51258656857956,1
Eberswalder Straße,69.35037474673511,95.29485716450932,97.89264094912656,3
Ernst-Reuter-Platz,177.06881836070895,169.86408890463605,158.77515981277583,1
Gleisdreieck,177.70100434504732,179.78689862112714,176.43075140462835,1
Hausvogteiplatz,142.23633345602903,119.33699689848933,86.82293930303602,2
Kaiserdamm,195.5530047480731,168.8685050843254,141.6982943543002,1
Klosterstraße,182.06279968584656,139.41061209398882,83.02980766959561,0
Mendelssohn-Bartholdy-Park,94.4923540581333,87.08517999902624,80.59854890695749,3
Mohrenstraße,122.83133333333333,102.77714133333333,88.31843825,2
Märkisches Museum,155.97018494897958,148.970406555755,133.23933269295372,1
Neu-Westend,176.50442463894612,156.03783583495496,129.29995731265262,1
Olympia-Stadion,150.5404540121337,131.021970569578,97.46881319635226,2
Pankow,181.31832006763443,168.76334522052983,156.24809730393955,1
Potsdamer Platz,113.20668808333333,112.710161,104.90356766666666,2
Rosa-Luxemburg-Platz,151.30820155029605,120.81115928721026,77.0886445965346,0
Ruhleben,119.38609894193931,132.90408860272413,149.41752886543486,2
Schönhauser Allee,77.58593126679685,92.03034815392206,92.59397989037436,3
Senefelderplatz,137.76401625947446,123.46796945533615,108.90608334383136,2
Sophie-Charlotte-Platz,177.49049759376908,162.5707748468979,145.21302566248855,1
Spittelmarkt,163.5915626377866,149.8806790221876,134.88588948793253,1
Stadtmitte,122.53613195155337,111.16367769512097,97.57799775306886,2
Theodor-Heuss-Platz,150.1715286124466,132.9999028207036,116.99013182997558,2
Vinetastraße,176.94168953268036,147.5658659297052,112.26114767376858,1
Wittenbergplatz,197.02581660418574,177.00587606837607,156.7764625782204,1
Zoologischer Garten U2,207.23621782947956,170.97676848433684,139.65378742893392,1
Augsburger Straße,137.38910643259683,94.7850751876831,58.750194231669106,0
Breitenbachplatz,148.71128718058267,126.38415590922038,100.02793471018474,2
Dahlem Dorf,117.85200913747151,114.70267836252849,105.61951637268066,2
Fehrbellliner Platz,152.99211502075195,120.08547814687093,78.9429105122884,0
Freie Universität,101.62432130177815,109.5661268234253,113.6704626083374,2
Heidelberger Platz,141.58552996317545,124.01937580108643,100.60541915893555,2
Hohenzollernplatz,144.48913224538168,112.75662358601888,70.7348403930664,0
Krumme Lanke,136.91949462890625,120.58685525258382,78.92917950948079,2
Onkel Toms Hütte,137.07296339670816,126.24801572163899,109.9148375193278,2
Oskar-Helene-Heim,82.125838915507,113.82769203186035,119.91310501098633,2
Podbielskiallee,123.31038729349773,98.54731369018555,77.5928529103597,3
Rüdesheimer Platz,158.06132062276205,131.98560778299967,94.29904874165852,2
Spichernstraße,126.5541337331136,113.27007134755452,99.2950709660848,2
Innsbruckerplatz,146.15884405339807,122.26275247052705,114.15433534153952,2
Rathaus Schöneberg,105.86000136643439,89.2506890616927,70.66378899933328,3
Viktoria-Luise-Platz,139.7134210298197,129.7508018377254,123.32505959604715,2
Biesdorf-Süd,135.9793561650896,113.4054682444389,84.26520584658908,2
Brandenburger Tor,126.12225283333333,108.46315741666666,87.112147125,2
Bundestag,97.15714866666667,83.38502191666667,72.22463404166666,3
Cottbusser Platz,98.84612687428792,86.79060935974121,69.95054944356282,3
Elsterwerdaer Platz,67.7726256052653,60.82690175374349,53.19020620981852,3
Frankfurter Allee,169.2195636960505,88.29420615329805,42.72526593037459,0
Frankfurter Tor,124.31730483333334,125.19144358333334,137.791558625,2
Friedrichsfelde,110.865,117.55134837962963,126.01258680555556,2
Hauptbahnhof,115.67301145833333,110.854454125,105.94795908333333,2
Hellersdorf,122.51654783884685,111.31899356842041,95.7812458674113,2
Hönow,111.9307492574056,96.46586926778157,67.1950527826945,3
Kaulsdorf-Nord,157.63765046060666,140.96436246691775,120.7792940121132,1
Kienberg,122.37889785373862,110.7873368669547,90.0852777795453,2
Lichtenberg,183.7599189814815,157.54911458333333,86.91218171296296,1
Louis-Lewin-Straße,132.4497034444985,120.27702849238308,96.20909653961053,2
Magdalenenstraße,160.30617491404215,157.24453512827554,138.1421937942505,1
Museumsinsel,95.094648125,90.69408829166667,85.448874625,3
Rotes Rathaus,92.74136070833333,75.276900125,60.253768,3
Samariterstraße,143.83225691666667,136.53875120833334,116.2229545,2
Schillingstraße,156.00034545833333,107.80226966666666,40.192378291666664,0
Straußberger Platz,159.931538375,163.120844125,158.4514325,1
Tierpark,161.96461741129556,150.1116418838501,133.39769236246744,1
Unter den Linden,90.91336083333333,83.55869875,77.25294691666667,3
Weberwiese,134.14395670833332,122.29552679166666,46.74243375,0
Wuhletal,118.75637152777777,107.64140046296296,94.27881365740741,2
Afrikanische Straße,164.30371946714644,156.02546329102628,142.05852879346182,1
Alt-Mariendorf,152.24088348381056,129.79687321845213,93.89254340829571,2
Alt-Tegel,163.4163677189626,143.6469721231471,134.55422599691883,1
Alt-Tempelhof,106.8955380702075,89.27528131652689,60.25452317660242,3
Borsigwerke,166.21652704291594,135.8672848527914,94.42237209795184,2
Holzhauser Straße,132.6808414627425,105.24589281121399,66.95886323761758,0
Kaiserin-Augusta-Straße,119.82524104973004,107.33259447418116,94.64738409093823,2
Kurt-Schumacher-Platz,180.4688001936886,164.70231730809607,150.8391659711724,1
Naturkundemuseum,170.74466217644132,158.24357143344082,128.55371057134482,1
Oranienburger Tor,135.042993992988,126.13028746199267,101.45656104315894,2
Otisstraße,112.8394130848713,100.19629660795646,84.16733337335705,3
Paradestraße,137.4997089607522,120.71754285389156,98.50126887497142,2
Platz der Luftbrücke,133.45287324858907,119.79066615185125,95.65377643807082,2
Rehberge,164.39517778079596,164.4404352645765,126.76601252480158,1
Scharnweberstraße,97.05833261159403,88.21224573452066,75.9321191053582,3
Tempelhof,140.98496582682492,126.6933809661787,67.92312718817328,0
Ullsteinstraße,162.0472437790906,122.40302288459243,45.955013053467,0
Wedding,190.43591389179835,95.29316142764303,30.22224846112962,0
Westphalweg,99.99333776983191,87.79396430289505,70.873809069326,3
Adenauer Platz,128.4003810613731,115.7983753274872,93.0823026961205,2
Altstadt Spandau,140.54715235972438,133.56573780847242,129.31101039531458,2
Bayerischer Platz,113.85752498169839,98.53555609443632,90.87460248901904,3
Berliner Strasse,197.39088083228248,86.05196647751156,38.46296626733922,0
Bismarckstraße,95.70324453004325,114.08608920694736,67.46860001961822,3
Blaschkoallee,160.287464175485,141.85111338130932,120.12145404554569,1
Blissestrasse,151.98823675,142.06543308333335,129.70293183333334,1
Britz-Süd,153.49456618547623,124.53084355415872,94.39291247516631,2
Eisenacher Strasse,83.15528191666667,108.68104483333333,68.94381825,3
Fehrbelliner Platz U7,162.67393787276342,123.32351322067595,65.61398856858847,0
Gneisenaustraße,135.1073463018384,133.62855397605816,121.59679211201369,2
Grenzallee,157.92184850888657,134.21466388928258,113.68708992084488,2
Halemweg,98.80538678426656,73.51423141134815,51.99353767031194,3
Haselhorst,115.9311571353672,106.07018065324272,91.29667568418111,2
Hermannplatz,148.16397928536878,135.9475984097713,105.89643057204795,2
Jakob Kaiser Platz,120.92793129869386,103.16880524472111,60.582042521726585,3
Johannisthaler Chaussee,166.79724992796227,152.4545343329306,134.34470808288637,1
Jungfernheide,123.85684381097347,110.26181611677242,77.48935377704889,2
Karl-Marx-Straße,156.95316140144624,137.66276646669058,114.77352870622101,1
Kleistpark,152.75307977461446,138.35744444444444,124.48016073546856,1
Konstanzer Strasse,157.44862965507335,110.3186048697099,65.01548832768667,0
Lipschitzallee,148.58628901328038,130.45740075788885,109.44622905581966,2
Mehringdamm,144.362285,132.9459265,124.47959316666666,2
Mierendorffplatz,95.03018016871683,83.6495255369472,40.97975475214945,3
Möckernbrücke U7,175.56647549541222,121.09514536558669,54.160715159846376,0
Neukölln,151.038781074022,120.64121714056465,69.53538751033058,0
Parchimer Allee,121.85704018725139,113.48737547181166,98.35919656622794,2
Paulstern,74.7726441700119,74.26694673267296,61.62863967718555,3
Rathaus Neukölln,175.8961854382123,146.15026769775585,117.72193789354141,1
